date,value
2015-11-30,339.84
2015-12-31,340.07
2016-01-31,340.04
2016-02-29,340.01
2016-03-31,339.98
2016-04-30,339.96
2016-05-31,339.93
2016-06-30,339.90
2016-07-31,339.87
2016-08-31,339.84
2016-09-30,339.81
2016-10-31,339.79
2016-11-30,339.76
2016-12-31,339.73
2017-01-31,339.87
2017-02-28,340.01
2017-03-31,340.15
2017-04-30,340.29
2017-05-31,340.44
2017-06-30,340.58
2017-07-31,340.72
2017-08-31,340.86
2017-09-30,341.00
2017-10-31,341.14
2017-11-30,341.29
2017-12-31,341.43
2018-01-31,341.71
2018-02-28,341.99
2018-03-31,342.28
2018-04-30,342.56
2018-05-31,342.85
2018-06-30,343.13
2018-07-31,343.42
2018-08-31,343.70
2018-09-30,343.99
2018-10-31,344.27
2018-11-30,344.56
2018-12-31,344.84
2019-01-31,344.99
2019-02-28,345.13
2019-03-31,345.27
2019-04-30,345.42
2019-05-31,345.56
2019-06-30,345.70
2019-07-31,345.85
2019-08-31,345.99
2019-09-30,346.13
2019-10-31,346.28
2019-11-30,346.42
2019-12-31,346.57
2020-01-31,346.57
2020-02-29,346.57
2020-03-31,346.57
2020-04-30,346.57
2020-05-31,346.57
2020-06-30,346.57
2020-07-31,346.57
2020-08-31,346.57
2020-09-30,346.57
2020-10-31,346.57
2020-11-30,346.57
2020-12-31,346.57
2021-01-31,346.51
2021-02-28,346.45
2021-03-31,346.39
2021-04-30,346.33
2021-05-31,346.28
2021-06-30,346.22
2021-07-31,346.16
2021-08-31,346.10
2021-09-30,346.05
2021-10-31,345.99
2021-11-30,345.93
2021-12-31,345.87
2022-01-31,346.59
2022-02-28,347.30
2022-03-31,348.01
2022-04-30,348.73
2022-05-31,349.45
2022-06-30,350.17
2022-07-31,350.89
2022-08-31,351.61
2022-09-30,352.34
2022-10-31,353.06
2022-11-30,353.79
2022-12-31,354.52
2023-01-31,355.48
2023-02-28,356.44
2023-03-31,357.41
2023-04-30,358.38
2023-05-31,359.35
2023-06-30,360.32
2023-07-31,361.30
2023-08-31,362.28
2023-09-30,363.26
2023-10-31,364.24
2023-11-30,365.23
2023-12-31,366.22
2024-01-31,367.03
2024-02-29,367.85
2024-03-31,368.67
2024-04-30,369.49
2024-05-31,370.31
2024-06-30,371.13
2024-07-31,371.95
2024-08-31,372.78
2024-09-30,373.61
2024-10-31,374.44
2024-11-30,375.27
2024-12-31,376.11
2025-01-31,376.73
2025-02-28,377.35
2025-03-31,377.97
2025-04-30,378.60
2025-05-31,379.22
2025-06-30,379.85
2025-07-31,380.48
2025-08-31,381.11
2025-09-30,381.73
2025-10-31,382.37
2025-11-30,383.00
2025-12-31,383.63
2026-01-31,384.11
2026-02-28,384.58
2026-03-31,385.06
2026-04-30,385.54
